nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion,financiacion_total_por_acciones_log,ultima_financiacion_por_acciones_log,monto_de_ultima_financiacion_log,financiacion_total_log,seguidores_en_linkedin_log,seguidores_en_facebook_log,seguidores_en_twitter_log,empleados_en_linkedin_log,años_desde_ultima_financiacion_log,cluster_kmeans
Synthetic Minds,2018-01-01,0,1,active,Software y Servicios B2B,7,2.0,396.0,0.0,294,3,1.0,0,1,5500000.0,5500000.0,0,3,2.0,5500000.0,1,seed,2018-10-22,5500000.0,6.720547945205479,15.520258832020865,15.520258832020865,15.520258832020865,15.520258832020865,5.983936280687191,0.0,5.68697535633982,1.0986122886681098,2.0438853388761338,0
NUMI,2018-01-01,0,0,active,Software y Servicios B2B,7,35.0,2000.0,10.0,87,1,2.0,0,2,150000.0,150000.0,0,1,1.0,150000.0,1,seed,2020-03-17,150000.0,5.317808219178082,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,7.601402334583733,2.3978952727983707,4.477336814478207,3.58351893845611,1.8433723472465129,0
Soteris,2018-01-01,1,0,active,Finanzas,7,7.0,223.0,0.0,0,0,1.0,0,1,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-08-19,150000.0,5.895890410958904,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,5.4116460518550396,0.0,0.0,2.0794415416798357,1.9309256415528244,0
Jido Maps,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,161.0,0.0,0,5,2.0,0,2,2220000.0,2100000.0,0,7,2.0,2220000.0,3,seed,2018-07-20,2100000.0,6.978082191780822,14.613018204298811,14.557448378884015,14.557448378884015,14.613018204298811,5.087596335232384,0.0,0.0,1.0986122886681098,2.0766980557340853,0
Cuanto,2018-01-01,0,0,active,Finanzas,7,10.0,818.0,0.0,0,0,3.0,0,3,1450000.0,1450000.0,0,3,1.0,1450000.0,2,pre_seed,2019-03-18,1450000.0,6.317808219178082,14.187074804051692,14.187074804051692,14.187074804051692,14.187074804051692,6.70808408385307,0.0,0.0,2.3978952727983707,1.9903108595274694,0
Tint.ai,2018-01-01,1,0,active,Finanzas,7,51.0,4000.0,0.0,191,8,3.0,0,3,28750000.0,25000000.0,0,8,1.0,28750000.0,3,series_a,2022-02-01,25000000.0,3.4383561643835616,17.17414835999024,17.034386422832473,17.034386422832473,17.17414835999024,8.294299608857235,0.0,5.2574953720277815,3.9512437185814275,1.4902840746439383,1
Atmos,2018-01-01,0,0,active,Bienes Raíces y Construcción,7,44.0,4000.0,1300.0,0,19,4.0,0,4,18655000.0,12500000.0,0,37,6.0,18655000.0,8,series_a,2022-11-15,12500000.0,2.652054794520548,16.741624818242325,16.341239282272525,16.341239282272525,16.741624818242325,8.294299608857235,7.170888478512505,0.0,3.8066624897703196,1.2952899665962172,1
Cherry,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,582.0,2.0,372,1,2.0,2,0,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,6.368187186350492,1.0986122886681098,5.921578419643816,1.0986122886681098,1.9903108595274694,0
Enerjazz,2018-01-01,0,1,active,No Especificado,7,10.0,1000.0,0.0,0,0,1.0,0,1,125000.0,125000.0,0,1,1.0,125000.0,1,pre_seed,2021-08-31,125000.0,3.86027397260274,11.736077016252437,11.736077016252437,11.736077016252437,11.736077016252437,6.90875477931522,0.0,0.0,2.3978952727983707,1.5810948092870334,0
Schoolable,2018-01-01,0,0,active,Educación,7,28.0,850.0,655.0,236,1,2.0,1,1,290000.0,100000.0,0,8,2.0,290000.0,4,seed,2021-01-21,100000.0,4.468493150684932,12.577639650232573,11.51293546492023,11.51293546492023,12.577639650232573,6.7464121285733745,6.486160788944089,5.4680601411351315,3.367295829986474,1.699003103288918,0
Zeta Surgical,2018-01-01,1,3,active,Software y Servicios B2B,7,9.0,3000.0,0.0,0,33,3.0,0,3,13925500.0,5000000.0,0,11,1.0,13925500.0,3,series_a,2025-01-21,5000000.0,0.4657534246575342,16.449232321586425,15.424948670398354,15.424948670398354,16.449232321586425,8.006700845440367,0.0,0.0,2.302585092994046,0.38236939331351505,1
Tappity,2018-01-01,0,0,active,Educación,7,11.0,392.0,4800.0,177,2,4.0,0,4,125000.0,125000.0,0,2,1.0,125000.0,1,seed,2020-08-25,125000.0,4.876712328767123,11.736077016252437,11.736077016252437,11.736077016252437,11.736077016252437,5.973809611869261,8.476579508530941,5.181783550292085,2.4849066497880004,1.7709974777796258,0
