nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion
ExcepGen,2018-01-01,0,4,active,Salud,7,4.0,1000.0,0.0,0,9,2.0,1,1,4175000.0,4000000.0,0,8,2.0,4175000.0,3,seed,2023-08-24,4000000.0,1.8794520547945206
OpenPhone,2018-01-01,1,0,active,Software y Servicios B2B,7,152.0,19000.0,0.0,32,32,2.0,1,1,56120000.0,40000000.0,0,19,3.0,56120000.0,4,series_b,2022-04-07,40000000.0,3.26027397260274
Nestor,2018-01-01,1,0,active,Educación,7,51.0,35000.0,355.0,223,0,2.0,1,1,2000000.0,2000000.0,0,5,1.0,2000000.0,2,seed,2022-12-07,2000000.0,2.591780821917808
Verse Medical,2018-01-01,0,0,active,Finanzas,7,127.0,3000.0,0.0,0,0,1.0,0,1,3000000.0,3000000.0,0,5,1.0,3000000.0,3,seed,2021-03-15,3000000.0,4.323287671232877
Anjuna,2018-01-01,4,4,active,Software y Servicios B2B,7,35.0,4000.0,47.0,937,27,2.0,0,2,67120000.0,25000000.0,0,12,6.0,67120000.0,5,series_b,2024-08-07,25000000.0,0.9232876712328767
Oxio,2018-01-01,0,0,active,Software y Servicios B2B,7,75.0,5000.0,11000.0,0,16,2.0,0,2,25000000.0,25000000.0,0,12,1.0,25000000.0,3,series_a,2021-07-19,25000000.0,3.978082191780822
Mytos,2018-01-01,0,2,active,Industria,7,42.0,5000.0,0.0,755,7,2.0,0,2,20800000.0,19000000.0,0,16,2.0,20800000.0,4,series_a,2023-11-30,19000000.0,1.610958904109589
Lucid Bots,2018-01-01,5,0,active,Industria,7,72.0,8000.0,4000.0,584,48,3.0,0,3,15687355.0,9100000.0,0,11,2.0,15687355.0,6,series_a,2024-05-08,9100000.0,1.1726027397260275
Vimcal,2018-01-01,0,0,active,Software y Servicios B2B,7,15.0,2000.0,0.0,0,19,2.0,0,2,6400000.0,4500000.0,0,8,2.0,6400000.0,3,seed,2023-11-28,4500000.0,1.6164383561643836
Demodesk,2018-01-01,1,0,active,Software y Servicios B2B,7,18.0,10000.0,336.0,259,8,2.0,1,1,10450000.0,8000000.0,0,12,3.0,10600000.0,4,seed,2020-09-03,8000000.0,4.852054794520548
Reshape Biotech,2018-01-01,0,0,active,Industria,7,73.0,10000.0,142.0,55,22,3.0,0,3,29207790.0,20000000.0,0,11,4.0,29207790.0,4,series_a,2024-04-09,20000000.0,1.252054794520548
DreamCraft,2018-01-01,3,0,active,Software y Servicios B2B,7,3.0,846.0,0.0,0,4,2.0,1,1,15370000.0,10000000.0,0,13,4.0,15370000.0,3,series_a,2021-11-17,10000000.0,3.6465753424657534
Paladin Drones,2018-01-01,0,0,active,Software y Servicios B2B,7,114.0,18000.0,0.0,0,1,2.0,0,2,6500000.0,5200000.0,0,7,3.0,6500000.0,3,seed,2024-10-18,5200000.0,0.726027397260274
