founder_name;company_name;last_funding_type;gender
Neha Mittal;Just Words;seed;female
James He;Artificial Societies;pre_seed;male
Patrick Sharpe;Artificial Societies;pre_seed;male
Ben Smet;Conveo;seed;male
Dieter De Mesmaeker;Conveo;seed;male
Hendrik Van Hove;Conveo;seed;male
Abhilash Chowdhary;Crustdata;pre_seed;male
Chris Pisarski;Crustdata;pre_seed;male
Manmohit Grewal;Crustdata;pre_seed;male
Caleb Harris;And AI;seed;male
Herbert Turner;And AI;seed;male
Akkshay Khoslaa;Asha Health;seed;male
Gokul Kumarresen;Asha Health;seed;male
Esha Manideep;Giga ML;seed;female
Varun Vummadi;Giga ML;seed;male
Emily Yuan;Corgi;pre_seed;female
Nico Laqua;Corgi;pre_seed;male
Aditya Lahiri;OpenFunnel;pre_seed;male
Fenil Suchak;OpenFunnel;pre_seed;male
Marius Buleandra;Hamming AI;seed;male
Sumanyu Sharma;Hamming AI;seed;male
German Mikulski;ClaimSorted;pre_seed;male
Pavel Gertsberg;ClaimSorted;pre_seed;male
Finn Mallery;Origami Agents;seed;male
Kenson Chung;Origami Agents;seed;male
Anurag Kejriwal;Sonnet;pre_seed;male
Dylan Feng;Sonnet;pre_seed;male
Benjamin Bolte;K-Scale Labs;pre_seed;male
Matthew Freed;K-Scale Labs;pre_seed;male
Paweł Budzianowski;K-Scale Labs;pre_seed;male
Carl Schoeller;Theseus;seed;male
Ian Laffey;Theseus;seed;male
Sacha Lévy;Theseus;seed;male
Abhi Aiyer;Mastra;pre_seed;male
Sam Bhagwat;Mastra;pre_seed;male
Shane Thomas;Mastra;pre_seed;male
Bardia Safari;Olive;seed;male
Shrey Gupta;Olive;seed;male
Anna Pojawis;OmniAI;seed;female
Tyler Maran;OmniAI;seed;male
Louis Murerwa;Ocular AI;seed;male
Michael Moyo;Ocular AI;seed;male
Furkan Köseoğlu;Polymet;pre_seed;male
Yusuf Hilmi;Polymet;pre_seed;male
Tiko Bdoyan;SimCare AI;seed;male
Vrishank Saini;SimCare AI;seed;male
Oscar Xing Luo;Reforged Labs;seed;male
Robert Huynh;Reforged Labs;seed;male
Henry Zhang;Axiom;pre_seed;male
Preston Ellis;Axiom;pre_seed;male
Muhammad Umar Nadeem;Kabilah;pre_seed;male
Sarah Raza;Kabilah;pre_seed;female
Ayantika Dey;Merlin AI;pre_seed;female
Kumar Siddhartha;Merlin AI;pre_seed;male
Sneha Kumari;Merlin AI;pre_seed;female
Duke Pan;PearAI;pre_seed;male
Nang Ang;PearAI;pre_seed;male
Ian Edwards;Parley;pre_seed;male
Jackson Perry;Parley;pre_seed;male
Philip Smart;Parley;pre_seed;male
Dimitris Fotis Sakellariou;Piramidal;seed;male
Kris Pahuja;Piramidal;seed;male
Kilian Justus;Tabular;pre_seed;male
Leo von Kleist;Tabular;pre_seed;male
Markus Jungnickel;Tabular;pre_seed;male
Tim Hermes;Tabular;pre_seed;male
Alex Tseng;Ares Industries;pre_seed;male
Daniel Jacoby;Ares Industries;pre_seed;male
Devan Plantamura;Ares Industries;pre_seed;male
Victor Laguna;PathPilot;seed;male
Vladimir Korshin;PathPilot;seed;male
Anker Bach Ryhl;Parahelp;pre_seed;male
Mads Lunau Liechti;Parahelp;pre_seed;male
Ankit Singhal;Anthrogen;seed;male
Connor Lee;Anthrogen;seed;male
Vignesh Karthik;Anthrogen;seed;male
Evan Wineland;Weave Robotics;pre_seed;male
Kaan Dogrusoz;Weave Robotics;pre_seed;male
Jenica Zhong;Tile;pre_seed;female
Jessica Fang;Tile;pre_seed;female
Helen W.;Amber AI;pre_seed;female
Oliver Zou;Amber AI;pre_seed;male
Carlos Georgescu;AfterQuery;pre_seed;male
Danny Tang;AfterQuery;pre_seed;male
Spencer Mateega;AfterQuery;pre_seed;male
Cyril Pluche;marblism;pre_seed;male
Ulric Musset;marblism;pre_seed;male
Alex Doonanco;careCycle;seed;male
Evan Roubekas;careCycle;seed;male
Eli Kerstein;Guardian RF;seed;male
John Andrzejewski;Guardian RF;seed;male
Lucas Raskin;Guardian RF;seed;male
Lucious McDaniel IV;BiteSight;pre_seed;male
Zachery Schulwolf;BiteSight;pre_seed;male
Dakotah Rice;Harper;pre_seed;male
Tushar Nair;Harper;pre_seed;male
Daniel Vega;Inversion Semiconductor;pre_seed;male
Rohan Karthik;Inversion Semiconductor;pre_seed;male
Hassan Mirza;FutureClinic;pre_seed;male
Nabil Belahouane;FutureClinic;pre_seed;male
Riyan Moussaoui;FutureClinic;pre_seed;male
Usama Syed;FutureClinic;pre_seed;male
Cristian Bodnar;Silurian AI;pre_seed;male
Jayesh K. Gupta;Silurian AI;pre_seed;male
Nikhil Shankar;Silurian AI;pre_seed;male
Benjamin Kilimnik;PAX Markets;pre_seed;male
Pete Stevenson;PAX Markets;pre_seed;male
Ayush Tomar;Helpcare AI;pre_seed;male
Huzaifa Sial;Helpcare AI;pre_seed;male
Kushal Mohta;Optifye.ai;pre_seed;male
Vivaan Baid;Optifye.ai;pre_seed;male
Badr Mokdad;Sandra AI;pre_seed;male
Ismail Majjad;Sandra AI;pre_seed;male
Skandere Sahli;Sandra AI;pre_seed;male
Benjamin South Lee;Variant;pre_seed;male
Daniel Bulhosa Solorzano;Variant;pre_seed;male
Daniel Cervoni;CommodityAI;pre_seed;male
Kyle Franz;CommodityAI;pre_seed;male
Philip Koenig;CommodityAI;pre_seed;male
Christopher Le;Pax AI;pre_seed;male
Penny Chen;Pax AI;pre_seed;female
Aamish Ahmad Beg;Lopus AI;pre_seed;male
Danylo Borodchuk;Lopus AI;pre_seed;male
Imogen Low;FuseAI;pre_seed;female
Saurav Bubber;FuseAI;pre_seed;male
Alex Tkachenko;Fira;pre_seed;male
Alexey Taktarov;Fira;pre_seed;male
Ayushman Srivastava;Caseflood.ai;seed;male
Ethan Hilton;Caseflood.ai;seed;male
Tolen Schreid;Caseflood.ai;seed;female
Shashij Gupta;Cekura AI;pre_seed;male
Sidhant Kabra;Cekura AI;pre_seed;male
Tarush Agarwal;Cekura AI;pre_seed;male
Anam Hira;Revyl;pre_seed;female
Landseer Enga;Revyl;pre_seed;male
Arman Karégar;Vetnio;pre_seed;male
Max Henry Xie;Vetnio;pre_seed;male
Filip Stål;Bluebook;pre_seed;male
Jonathan Andersson;Bluebook;pre_seed;male
Philip Andersson;Bluebook;pre_seed;male
Alexander Israelov;Mentra;pre_seed;male
Cayden Pierce;Mentra;pre_seed;male
Mohammad Algharabat;Open;pre_seed;male
