founder_name,company_name,last_funding_type,gender
Ishaan Kapoor,Lumina,pre_seed,
Mehul Chadda,Lumina,pre_seed,
Bella Wu,Dexter,pre_seed,
Caterina Kiehntopf,Dexter,pre_seed,
Vincent Garrigues,Dexter,pre_seed,
Michael Chen,Yondu,pre_seed,
Tahmid Jamal,Yondu,pre_seed,
Juan Castaño,Benchify,pre_seed,
Max Hippel,Benchify,pre_seed,
Javier Antoran,Ångström AI,pre_seed,
Jose Miguel Hernandez Lobato,Ångström AI,pre_seed,
Laurence Midgley,Ångström AI,pre_seed,
Lukas Martinelli,Reprompt,pre_seed,
Rob Balian,Reprompt,pre_seed,
Aahel Iyer,Midship,pre_seed,
Kieran Taylor,Midship,pre_seed,
Max Maio,Midship,pre_seed,
Ishan Sheth,Ergo,pre_seed,
Yash Dulla,Ergo,pre_seed,
Kirthi Banothu,Protegee,pre_seed,
Xiaoyu Li,Protegee,pre_seed,
Essam Sleiman,Canvas AI,pre_seed,
Daniel Tyshler,Riviera,pre_seed,
Sathvik Nori,Riviera,pre_seed,
Shaun Lane,Riviera,pre_seed,
Paul-Henri Biojout,Dollyglot,pre_seed,
Thomas Minassian,Dollyglot,pre_seed,
Pushkar Lanka,Vora AI,pre_seed,
Alvaro Rivera,Codes Health,pre_seed,
Austin Mills,Codes Health,pre_seed,
Cody Durr,Codes Health,pre_seed,
Aaron Zelinger,Closure,pre_seed,
Gilad Levy,Closure,pre_seed,
Fernando Huerta,Seals,pre_seed,
Heber Garza,Seals,pre_seed,
Javier González,Seals,pre_seed,
Luis Mario Garcia,Seals,pre_seed,
Andrei Craciunescu,RiskCube,pre_seed,
Antonio Vespoli,Circlemind,seed,
Luca Pinchetti,Circlemind,seed,
Yuhang Song,Circlemind,seed,
Ryan Johnston,Waypoint Transit,pre_seed,
Varun Tandon,Waypoint Transit,pre_seed,
Alex Matthews,Remade,pre_seed,
Blendi Bylygbashi,Remade,pre_seed,
Christos Antonopoulos,Remade,pre_seed,
Rehan Sheikh,Remade,pre_seed,
Emily Nieves,Delineate,pre_seed,
Jawad Iqbal,Delineate,pre_seed,
Nikhil Sonti,Felafax AI,pre_seed,
Nithin Sonti,Felafax AI,pre_seed,
Frances Liu,Promptless,pre_seed,
Prithvi Ramakrishnan,Promptless,pre_seed,
Dinmukhamed Mailibay,Laminar,pre_seed,
Robert Kim,Laminar,pre_seed,
Ethan Breit,Fabricate,pre_seed,
Lucas Crupi,Fabricate,pre_seed,
David Mlčoch,Asteroid,pre_seed,
