company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
Freterium,https://www.crunchbase.com/organization/freterium,4455000.0,8.0,4000000.0,,2018-12-01,,,7,active,3.0,c_00011_00050,4455000.0,3,seed,2021-12-24,4000000.0,2.0,https://www.linkedin.com/company/freterium/,,,"Mehdi Cherif Alami, Omar El Kouhene","Information Technology, Software, Transportation"
Pachama,https://www.crunchbase.com/organization/pachama,88250000.0,22.0,9000000.0,,2018-11-01,2.0,0.0,57,active,7.0,c_00051_00100,88250000.0,8,series_b,2023-12-05,9000000.0,2.0,https://www.linkedin.com/company/pachama,,https://www.twitter.com/pachamainc,"Diego Saez-Gil, Tomas Aftalion","Agriculture and Farming, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software, Sustainability"
Supernova.io,https://www.crunchbase.com/organization/supernova-technology-ltd,16624694.0,14.0,4800000.0,,2018-11-01,1.0,0.0,12,active,4.0,c_00011_00050,16624694.0,6,seed,2022-11-16,4800000.0,5.0,https://www.linkedin.com/company/supernova-io,,https://twitter.com/supernova_io,"Artem Ufimtcev, Jiri Trecak, na na, Oskar Koristka, Vaclav Lustek","Design, Information Technology, Software"
Point Card,https://www.crunchbase.com/organization/point-card,59150000.0,8.0,46500000.0,,2018-11-01,,,16,closed,2.0,c_00011_00050,59150000.0,4,series_b,2021-09-02,46500000.0,3.0,https://www.linkedin.com/company/getpoint,https://www.facebook.com/pointcardhq/,https://twitter.com/pointcardhq,"Kenan Pulak, Patrick Mrozowski, Sid Parihar","Financial Services, Lending and Investments, Payments"
Windwalk Games,https://www.crunchbase.com/organization/windwalk-games-enemy-on-board,6080000.0,5.0,4500000.0,,2018-11-01,0.0,0.0,5,active,1.0,c_00011_00050,6080000.0,6,seed,2024-10-10,4500000.0,3.0,https://www.linkedin.com/company/windwalkgames/,,https://twitter.com/gameswindwalk,"Colin Feo, Cristoforo Feo, Samuel Leonard","Consumer Electronics, Gaming, Hardware, Media and Entertainment"
RoboTire,https://www.crunchbase.com/organization/robotire,10800000.0,32.0,10650000.0,,2018-11-01,,,11,active,3.0,c_00011_00050,10800000.0,6,series_a,2021-10-07,10650000.0,2.0,https://www.linkedin.com/company/robotire,,https://twitter.com/robotireinc,"Victor Darolfi, Will Mapes","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation"
PerShop,https://www.crunchbase.com/organization/pershop,150000.0,,150000.0,,2018-11-01,,,1,closed,1.0,c_00001_00010,150000.0,1,seed,2019-03-18,150000.0,2.0,https://www.linkedin.com/company/pershopapp/,,https://twitter.com/pershopapp,"Amol Jain, Tony Dong","Apps, Commerce and Shopping, Software"
Arist,https://www.crunchbase.com/organization/arist,16055000.0,6.0,12000000.0,,2018-10-20,1.0,0.0,14,active,5.0,c_00011_00050,16055000.0,5,series_a,2022-07-12,12000000.0,4.0,https://www.linkedin.com/company/aristu,https://www.facebook.com/LearnArist,,"Maxine Anderson, Michael Ioffe, Riley Wilson, Ryan Laverty","Education, Information Technology, Internet Services, Messaging and Telecommunications, Software"
Justo,https://www.crunchbase.com/organization/get-justo,2555000.0,6.0,2300000.0,,2018-10-18,0.0,0.0,4,active,1.0,c_00101_00250,2555000.0,4,seed,2020-12-10,2300000.0,2.0,https://www.linkedin.com/company/getjusto/,https://www.facebook.com/Getjusto/,,"Nicolás López Jullian, Rodrigo Segal","Commerce and Shopping, Food and Beverage, Transportation"
MilkRun,https://www.crunchbase.com/organization/milkrun,8575000.0,35.0,6000000.0,,2018-10-01,,,14,closed,3.0,c_00011_00050,8575000.0,6,series_a,2021-11-05,6000000.0,3.0,https://www.linkedin.com/company/milkrun/,https://www.facebook.com/localmilkrun,https://twitter.com/localmilkrun,"John Zeller, Julia Niiro, Robert Galanakis","Agriculture and Farming, Commerce and Shopping, Food and Beverage, Transportation"
