company_name;link_company;linkedin;linkedin_employees;linkedin_followers;facebook;facebook_followers;selected
Ruth Health;https://www.crunchbase.com/organization/ruth-health;https://www.linkedin.com/company/ruthhealth;3;2000;https://www.facebook.com/ruthhealthco;82;1
CarbonChain;https://www.crunchbase.com/organization/carbonchain-io;https://www.linkedin.com/company/carbon-chain-uk/;2;54;https://www.facebook.com/carbonchainuk;0;1
Zippi;https://www.crunchbase.com/organization/zippi;https://www.linkedin.com/company/vaizippi/;91;11000;https://www.facebook.com/souzippi/;13000;1
Treble.ai;https://www.crunchbase.com/organization/treble-ai;https://www.linkedin.com/company/treble-ai;63;12000;;0;1
General Proximity;https://www.crunchbase.com/organization/general-proximity-650b;https://www.linkedin.com/company/generalproximity;22;6000;;0;1
Female Invest;https://www.crunchbase.com/organization/female-invest;https://www.linkedin.com/company/female-invest;57;71000;https://www.facebook.com/FemaleInvest;79000;1
WhiteLab Genomics;https://www.crunchbase.com/organization/whitelab-genomics;https://www.linkedin.com/company/whitelabgenomics;51;8000;https://www.facebook.com/whitelabgenomics;1;1
Gotrade;https://www.crunchbase.com/organization/gotrade;https://www.linkedin.com/company/gotradeapp;106;15000;https://www.facebook.com/heygotrade;8800;1
Coperniq Inc.;https://www.crunchbase.com/organization/coperniq;https://www.linkedin.com/company/coperniq;19;881;https://www.facebook.com/Coperniq;666;1
Karat Financial;https://www.crunchbase.com/organization/karat-f5a7;https://www.linkedin.com/company/trykarat;42;10000;;0;1
1build;https://www.crunchbase.com/organization/1build;https://www.linkedin.com/company/1build/;13;4000;https://www.facebook.com/hello1build/;5200;1
Elpha;https://www.crunchbase.com/organization/elpha;https://www.linkedin.com/company/joinelpha;55;19000;;0;1
Okay;https://www.crunchbase.com/organization/okay;https://www.linkedin.com/company/okayhq;62;1000;;0;1
goDutch;https://www.crunchbase.com/organization/godutch-a6ef;https://www.linkedin.com/company/godutchpay;44;8000;https://www.facebook.com/goDutchPay;1000;1
GitStart;https://www.crunchbase.com/organization/murcul;https://www.linkedin.com/company/gitstarthq;39;5000;http://facebook.com/GitStartHQ;613;1
Curacel;https://www.crunchbase.com/organization/curacel;https://www.linkedin.com/company/curacel/;55;9000;https://www.facebook.com/curacelai;439;1
Dex_2;https://www.crunchbase.com/organization/dex-0c0e;https://www.linkedin.com/company/getdex;;;https://www.facebook.com/dexprm;1800;0
Potion;https://www.crunchbase.com/organization/potion-ai;https://www.linkedin.com/company/potionai;11;4000;;0;1
Heroic Story;https://www.crunchbase.com/organization/heroic-story;https://www.linkedin.com/company/heroic-story/;6;596;;0;1
Resquared;https://www.crunchbase.com/organization/resquared;http://linkedin.com/company/resquared;39;4000;;0;1
Reflect;https://www.crunchbase.com/organization/reflect-42d0;https://www.linkedin.com/company/runreflect;;;;0;0
GroMo;https://www.crunchbase.com/organization/gromo;https://www.linkedin.com/company/gromofintech/;775;28000;https://www.facebook.com/gromofintech/;10000;1
Warmly;https://www.crunchbase.com/organization/warmly;https://www.linkedin.com/company/warmly-comma;118;18000;https://www.facebook.com/WarmlyComma;12;1
AntWalk;https://www.crunchbase.com/organization/antwak-fa07;https://www.linkedin.com/school/antwalk;91;28000;https://www.facebook.com/AntWakDM;555;1
Kingdom Supercultures;https://www.crunchbase.com/organization/kingdomsupercultures;https://www.linkedin.com/company/kingdom-supercultures/;23;2000;;0;1
Mailwarm;https://www.crunchbase.com/organization/mailwarm;;0;0;https://www.facebook.com/Mailwarm-102161834695215;;0
Current Foods;https://www.crunchbase.com/organization/kuleana-inc;https://www.linkedin.com/company/kuleanafood;8;7000;https://www.facebook.com/kuleana.seafood;0;1
Akiflow;https://www.crunchbase.com/organization/akiflow;https://www.linkedin.com/company/akiflow;20;5000;https://www.facebook.com/pg/AkiflowApp/;2100;1
Multis;https://www.crunchbase.com/organization/multis;https://www.linkedin.com/company/13991256;29;2000;;0;1
Coderhouse;https://www.crunchbase.com/organization/coderhouse;https://www.linkedin.com/company/coderhouse;500;418000;https://www.facebook.com/coderhouse;94000;1
Matter;https://www.crunchbase.com/organization/matter-ec5e;https://www.linkedin.com/company/getmatterapp;7;285;;0;1
Unflow;https://www.crunchbase.com/organization/quorum-92a9;https://www.linkedin.com/company/monaru/;3;790;;0;1
Vendr;https://www.crunchbase.com/organization/vendr;https://www.linkedin.com/company/vendr-co;236;24000;https://www.facebook.com/savewithvendr;313;1
BuildBuddy;https://www.crunchbase.com/organization/buildbuddy;https://www.linkedin.com/company/buildbuddy;18;726;https://www.facebook.com/buildbuddy.io/;211;1
Brite Benefits;https://www.crunchbase.com/organization/brite-benefits;https://www.linkedin.com/company/getbritehr;24;2000;;0;1
MedMe Health;https://www.crunchbase.com/organization/medme-health;https://www.linkedin.com/company/medme-health;56;7000;https://www.facebook.com/medmehealth/;293;1
Factored Quality;https://www.crunchbase.com/organization/factored-quality;https://www.linkedin.com/company/factored-quality/;11;3000;;0;1
Verihubs;https://www.crunchbase.com/organization/verihubs;https://www.linkedin.com/company/verihubs;66;23000;https://www.facebook.com/VERIHUBS;38;1
NavTrac;https://www.crunchbase.com/organization/navtrac;https://www.linkedin.com/company/navtrac;14;2000;https://www.facebook.com/navtracai;357;1
Lume Health;https://www.crunchbase.com/organization/lume-health;https://www.linkedin.com/company/lume-health/;5;82;;0;1
MindPortal;https://www.crunchbase.com/organization/mindportal;https://www.linkedin.com/company/mindportal/;6;1000;;0;1
mello;https://www.crunchbase.com/organization/mello;https://www.linkedin.com/company/itsmello;2;561;;0;1
Archbee;https://www.crunchbase.com/organization/archbee;https://www.linkedin.com/company/archbee;12;4000;https://www.facebook.com/archbeehq;350;1
Quota Lab;https://www.crunchbase.com/organization/quota-lab;https://www.linkedin.com/company/quotalab;20;792;;0;1
Avawatz;https://www.crunchbase.com/organization/avawatz;https://www.linkedin.com/company/avawatz;17;435;https://www.facebook.com/Avawatz-104116278846445;2600;1
