company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers,num_female_founders,num_male_founders,has_linkedin,has_facebook,has_twitter,twitter_followers,category,company_age
Gas Pos,https://www.crunchbase.com/organization/gas-pos-inc,4375000.0,80,150000.0,0,2015-01-01,0,0,7,active,2.0,c_00011_00050,4375000.0,6,seed,2020-03-16,150000.0,1.0,https://www.linkedin.com/company/gas-pos/,,,https://www.facebook.com/GasPos.co/,,0,1,1,1,1,266,Finanzas,10
Amberbox Gunshot Detection,https://www.crunchbase.com/organization/amberbox,2120000.0,1,2120000.0,0,2015-01-01,0,0,4,active,1.0,c_00011_00050,2120000.0,2,seed,2016-12-01,2120000.0,1.0,https://www.linkedin.com/company/10798761/,,,https://www.facebook.com/AmberBoxGunshotDetection/,,0,1,1,1,1,61,No Especificado,10
Switchboard,https://www.crunchbase.com/organization/switchboard-5db1,4325000.0,5,175000.0,0,2015-01-01,0,0,10,active,2.0,c_00011_00050,4325000.0,5,seed,2021-12-17,175000.0,2.0,https://www.linkedin.com/company/switchboard/,,,https://www.facebook.com/Switchboard/,,0,2,1,1,1,111,Software y Servicios B2B,10
AnnieCannons,https://www.crunchbase.com/organization/anniecannons,120000.0,2,120000.0,0,2015-01-01,0,0,1,active,1.0,c_00011_00050,120000.0,1,seed,2018-08-20,120000.0,2.0,https://www.linkedin.com/company/anniecannons/,,,https://www.facebook.com/anniecannons,,2,0,1,1,1,0,Software y Servicios B2B,10
Fetch,https://www.crunchbase.com/organization/fetch-6,5620000.0,4,3500000.0,0,2015-01-01,0,0,6,active,2.0,c_00001_00010,5620000.0,4,series_a,2022-03-04,3500000.0,2.0,https://www.linkedin.com/company-beta/15180048/,,,,0,0,2,1,0,1,107,Consumo,10
PredictLeads,https://www.crunchbase.com/organization/predictleads,150000.0,1,150000.0,0,2015-01-01,0,0,5,active,1.0,c_00001_00010,150000.0,2,seed,2019-08-19,150000.0,3.0,https://www.linkedin.com/company/predictleads/,,,,0,1,2,1,0,1,55,Software y Servicios B2B,10
Bloomberg Second Measure,https://www.crunchbase.com/organization/second-measure,25400000.0,44,20000000.0,0,2015-01-01,0,0,30,active,3.0,c_00051_00100,25400000.0,3,series_a,2019-02-11,20000000.0,2.0,https://www.linkedin.com/company/second-measure,,,https://www.facebook.com/secondmeasure/,,1,1,1,1,1,0,Finanzas,10
PhysioHealth,https://www.crunchbase.com/organization/physiohealth,120000.0,1,120000.0,0,2015-01-01,0,0,1,active,1.0,c_00001_00010,120000.0,1,pre_seed,2016-03-22,120000.0,2.0,https://www.linkedin.com/company/physioh-inc-/,,,https://www.facebook.com/wellbithabit/,,2,0,1,1,0,0,Salud,10
Shelf Engine,https://www.crunchbase.com/organization/shelf-engine,58220000.0,28,41000000.0,0,2015-01-01,1,0,15,active,4.0,c_00101_00250,58220000.0,6,series_b,2021-03-18,41000000.0,2.0,https://www.linkedin.com/company/shelf-engine/,,,https://www.facebook.com/shelfengine/,,0,2,1,1,1,755,Software y Servicios B2B,10
PaveAI,https://www.crunchbase.com/organization/paveiq,620000.0,0,500000.0,0,2015-01-01,0,0,3,active,1.0,c_00001_00010,620000.0,2,seed,2016-09-01,500000.0,1.0,https://www.linkedin.com/company/pave-analytics,,,https://www.facebook.com/paveai/,,0,1,1,1,1,0,Software y Servicios B2B,10
Intact Therapeutics,https://www.crunchbase.com/organization/intact-therapeutics,400000.0,4,250000.0,0,2015-01-01,0,2,5,active,2.0,c_00001_00010,644999.0,4,series_a,2021-11-17,250000.0,2.0,https://www.linkedin.com/company/intact-therapeutics/,,,,0,0,2,1,0,0,0,Salud,10
Quantierra,https://www.crunchbase.com/organization/quantierra,120000.0,3,120000.0,0,2015-01-01,0,0,1,active,1.0,c_00001_00010,120000.0,2,seed,2018-01-04,120000.0,4.0,,0,0,,0,1,3,0,0,1,140,Bienes Raíces y Construcción,10
StrongIntro,https://www.crunchbase.com/organization/strongintro,120000.0,0,120000.0,0,2015-01-01,0,0,2,active,1.0,c_00001_00010,120000.0,1,seed,2016-03-22,120000.0,2.0,https://www.linkedin.com/company/strongintro,,,https://www.facebook.com/strongintro,,0,2,1,1,1,18,No Especificado,10
Battlecard,https://www.crunchbase.com/organization/battlecard,1445000.0,1,1020000.0,0,2015-01-01,0,0,10,active,3.0,c_00001_00010,1445000.0,4,seed,2020-03-17,1020000.0,2.0,,0,0,,0,0,2,0,0,0,0,Software y Servicios B2B,10
Elucify,https://www.crunchbase.com/organization/elucify,120000.0,1,120000.0,0,2015-01-01,0,0,2,active,1.0,c_00011_00050,120000.0,1,seed,2016-03-22,120000.0,3.0,https://www.linkedin.com/company/getelucify,,,https://www.facebook.com/getelucify,,0,3,1,1,1,113,Software y Servicios B2B,10
Chillabit,https://www.crunchbase.com/organization/chillabit,1000000.0,0,1000000.0,0,2015-01-01,0,0,2,active,2.0,c_00001_00010,1000000.0,1,seed,2016-03-19,1000000.0,4.0,https://www.linkedin.com/company/chillabit-yc-w16-,,,https://www.facebook.com/justchillabit,,2,2,1,1,0,0,No Especificado,10
Cambridge Mask Co,https://www.crunchbase.com/organization/cambridge-mask,1550000.0,1,350000.0,0,2015-01-01,0,0,3,active,1.0,c_00011_00050,1570000.0,5,seed,2018-09-01,350000.0,1.0,https://www.linkedin.com/company/cambridge-mask-co/?originalSubdomain=kw,,,https://www.facebook.com/cambridgemaskco,,0,1,1,1,1,0,No Especificado,10
Unnyhog,https://www.crunchbase.com/organization/unnyhog,120000.0,2,120000.0,0,2015-01-01,0,0,3,active,1.0,c_00001_00010,120000.0,2,pre_seed,2016-03-22,120000.0,3.0,https://www.linkedin.com/company/unnyhog,,,https://www.facebook.com/pg/unnyhog,,1,2,1,1,1,0,No Especificado,10
