company_name;num_female_founders;num_male_founders
Demo Gorilla;0;2
Demodesk;1;1
Demonpore;0;1
Demospace;0;2
Dendron;0;1
Denormalized;1;1
Depict;0;2
Depot;0;2
Deskimo;0;2
Dev Tools AI;0;2
DevFlight;0;2
Devdraft;1;1
Devyce;0;3
Dex_1;1;1
Dex_2;0;1
Dexter;2;1
Dharma Labs;0;2
Dialect;0;3
DianaHR;1;1
Diffusion Studio;0;2
Digi;0;3
Digi-Prex;0;1
Digistain;0;2
DigitalCarbon;0;2
Diligent;0;2
Dime;0;2
Dimely;0;2
Dinesafe.org;0;1
Dioptra.ai;1;2
DioxusLabs;0;1
Direct Match;1;1
Disclo;1;1
Disclosures.io;0;3
Distro App;0;1
Dittofeed;0;2
Dive Health;1;1
Diversion Company;1;1
DocTalk;0;3
DocVita;0;1
Docbot;0;4
Dockup;0;2
Docsum;0;2
Doctor Droid;0;2
Docucharm;0;2
Dodo;0;3
DolarApp;0;1
Dollyglot;0;2
Domu;1;1
Doorport;0;2
Doppler;0;3
Dorian Therapeutics;2;0
DoseDr;0;3
Dots;0;4
Double_1;0;3
Double_2;0;1
Dover;1;2
Dr. Treat;1;2
DraftAid;0;3
Draftbit;0;3
Draftwise;0;3
Dragoneye;0;1
Drahim;0;2
Drapr;0;3
Dream3D;0;2
DreamCraft;1;1
DreamRP;1;1
DreamWorld;0;2
Dressd;1;1
Drift Bio;0;2
Drifting in Space;1;1
Driftly;0;2
Drillbit;0;2
Dripos;0;2
Driver;0;2
Drivingforce;0;1
Dropezy;1;1
Dropleaf;0;2
Dropprint Genomics;2;1
DryMerge;0;2
Duckie;1;1
Duckly;0;2
Duffel;0;1
Duffl;0;5
Duplo;1;2
Durate;0;2
Durioo;0;1
Dynamo AI;0;2
Dyneti Technologies;2;0
EARTH AI;0;1
ECSA;0;3
EPIC AEROSPACE;0;1
EPICODE;0;5
EXO Freight;0;2
Easol;1;2
EasyCode;0;2
Easyplan;1;1
Eat Blueprint;0;1
Eazipay;0;3
Echoes HQ;0;1
Eclipse Foods;0;2
Ecliptor;1;1
Eden;0;3
Eden Care Medical;0;1
EdenFarm Indonesia;0;3
Edexia;0;2
EdgeBit;0;3
EduRev;0;2
Education Ecosystem;0;1
Educato AI;0;3
Eduflow;0;3
Edwin;0;3
Edyst;0;2
Eggnog AI;0;2
Ego Live;1;1
Egress;0;2
Ekho Dealer;1;1
Elayne;1;1
Electric Air;0;3
ElectroNeek;0;4
Elementary Data;1;1
Elessar;0;1
Elevate AI;1;1
Elevate Pay;0;3
Eleventh;1;3
Ellipsis;0;2
Ello;1;2
Elodin;0;5
Elph Network;0;5
Elpha;1;2
Elphinstone;0;2
Elto;0;2
Elucd;0;1
Elucify;0;3
Elyos Energy;1;2
Ember Copilot;1;1
Ember Robotics;2;0
Emerge Career;0;2
Emerge Tools;0;2
Emi Labs;0;2
Emigre;0;1
Emobi;1;0
Emojer;1;2
Emote Education;1;1
Empirical Health;1;1
Empower;0;2
Emptor;0;2
Enable Us;1;3
Encarte;0;2
Encellin;2;1
Encord;0;3
Encore;0;2
Encuadrado;0;2
Endla;0;2
Endpoint Health;0;4
Enerjazz;0;1
Engage Bio;1;1
Enhanced Radar;0;2
Ennerate;0;2
Enode;0;3
Enombic;1;1
Enso;1;1
Entelexo Biotherapeutics;0;3
Entocycle;0;1
Entry;0;2
Entvin;0;3
EnvKey;0;1
Envelope Money;1;1
Envyl;1;3
Enzyme;0;2
Epihub;0;3
Epinoma;0;2
Epsilla;0;2
Epsilon3;1;2
Erad;0;3
Ergo;0;2
Eris Biotech;2;0
Escape;0;2
Escher Reality;1;1
Eugit Therapeutics;0;3
Eugit Therapeutics, Inc;0;1
Eventual;0;2
Ever Loved;1;1
Every;0;2
Evidence;0;2
Evidently AI;2;0
Evo.Do;1;1
Evolvere BioSciences;1;2
Exa;0;2
Exa Laboratories;0;2
ExcepGen;1;1
ExceptionALLY;1;2
Exin Therapeutics;0;3
Exla;0;2
Exosonic;0;2
Expent Inc;0;2
Explo;0;4
Exploding Gradients;0;2
Explorex Technologies, Inc.;0;2
Extend;0;1
Extern;0;2
Eytrix;0;2
EzDubs;0;3
FINNY;2;1
FLOWER CO;1;2
Fabius;0;2
Fable;0;2
Fabric;0;2
Fabricate;0;2
Facio;0;3
Faction;1;0
Factored Quality;0;5
Fair Square Medicare;0;1
Fairway Health;1;2
Fam;0;2
FamPay;0;2
FanCave;0;2
FanPlay Technologies;0;1
Fancy;0;2
Farcast;0;1
Farel;0;2
Farm Theory;1;1
Farmako;0;3
Farmstead;0;2
Fastgen;0;3
Fastpad;0;1
Fat Llama;1;2
Fathom;0;1
Fazeshift;1;1
Feanix Biotechnologies;1;2
Feather_1;0;2
Feather_2;0;2
FeaturePeek;0;2
Federacy;0;2
Felafax AI;0;2
