company_name,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
Vaero,1200000.0,,1200000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,1200000.0,1,seed,2023-04-05,1200000.0,2.0,https://www.linkedin.com/company/vaerohq,,,"Bryant Lee, Earl Hathaway","Other, Professional Services, Software"
Simbie Health,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,3.0,https://www.linkedin.com/company/simbie-health,,https://x.com/simbiehealth,"Natalia Neha Khosla, Natalia Perina, Rachel O Driscoll","Education, Health Care"
InQuery,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/inquery-data/?viewAsMember=true,,https://twitter.com/inquery_data,"Erick Enriquez, Khalil Miri","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Hatchet,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/hatchet-run,,https://twitter.com/hatchet_dev,"Alexander Belanger, Gabriel Ruttner","Information Technology, Internet Services"
Watto AI,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,3.0,https://www.linkedin.com/company/watto-ai,,https://twitter.com/Watto_AI,"Ishita Bhandari, Rishabh Panwar, Suryansh Soni","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Exploding Gradients,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/ragas/,,https://twitter.com/ragas_io,"Jithin James, Shahul ES","Science and Engineering, Software"
xPay,500000.0,1.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/xpay-checkout/?viewAsMember=true,,https://twitter.com/theaniketg,"Aniket Gupta, Rakshit Bansal","Financial Services, Information Technology"
GovernGPT,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/governgpt-ai,,,"Mamal Amini, Oliver Walerys",Financial Services
Mica AI,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,3.0,https://www.linkedin.com/company/mica-ai/about/,,https://x.com/Mica_AI_Inc,"Achyuta Iyengar, Bharadwaj Swaminathan, Jai Yarlagadda","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software"
Aglide,500000.0,1.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-08-25,500000.0,2.0,https://www.linkedin.com/company/aglide/,,https://x.com/useaglide,"Oliver Colebourne, Patrick D. McGuckian","Information Technology, Other, Privacy and Security, Software"
Palomma,500000.0,,500000.0,,2023-01-01,,,7,active,1.0,c_00001_00010,500000.0,1,seed,2023-04-05,500000.0,3.0,https://www.linkedin.com/company/palomma,,,"Cipriano Echavarria, Felipe Monsalve, Nicolás Gómez del Campo","Apps, Financial Services, Mobile, Payments, Software"
Veles,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/velesinc,,https://twitter.com/VelesInc,"Patrick Koperwas, Simon Ooley","Other, Software"
SiLogy,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-03-01,500000.0,2.0,,,,"Kay Li, Paul Kim",Software
Parea AI,500000.0,2.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-06-01,500000.0,2.0,https://www.linkedin.com/company/parea-ai/,,https://twitter.com/PareaAI,"Joel Alexander, Joschka Braun","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Million,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-03-01,500000.0,1.0,https://www.linkedin.com/company/milliondotjs/,,https://twitter.com/milliondotjs,Aiden Bai,"Internet Services, Software"
Focal_2,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/focalml/about,,https://twitter.com/focalml,"Felix Wang, Robert Cunningham","Media and Entertainment, Software, Video"
Linc AI,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-07-17,500000.0,3.0,https://www.linkedin.com/company/linc-ai/,,,"Harsha Srijay, Rahul Prakash, Shrey Sambhwani","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Flair Health,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,,,,"Diva Sharma, Shobha Dasari","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Maven Bio,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,,,,"Arjun Murthy, Michael Brady","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Chatter,500000.0,1.0,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/trychatter/,https://www.facebook.com/trychatter,,"Anish Agrawal, Kasyap Chakra","Information Technology, Internet Services, Other"
Ionworks,500000.0,,500000.0,,2023-01-01,1.0,0.0,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/ionworks-technologies/,,https://x.com/ionworks_,"Robert Timms, Valentin Sulzer","Energy, Software"
Curo,500000.0,1.0,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-12-04,500000.0,2.0,https://www.linkedin.com/company/curocharging/,,,"Andrew Porter, Kieran White",Transportation
